method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
fd_1d,fd,1,1,1.1,True,1.2337712156309193,0.0,-0.03632520158413277,0.927,1.2337712156309193,0.927,0.9162375,0.9375,0.0447000992707389,1.0778851394931286,1.1234109191475614,0.6063678577183874,1.117085578638217,1.1294756306988443,1.1379123316652746,0.07277447949831266,1.5726577722350406,0.07277447949831266,0.07277447949831266,5.950752276294059,0.036385324068060006,,0.0,1.0405185559939127,0
fd_merton_multi,fd,1,1,1.1,True,2.049670041811495,0.0,-0.33902703766454634,1.0,2.049670041811495,,,,,,,,,,,1.0,1.0,1.0,1.0,0.0,0.1873793353470247,,0.0,0.00013164499250706285,0
nn_mlp_small,nn,1,1,1.1,True,1.138517083398134,0.0,-0.038358972451215334,0.8695,1.138517083398134,0.8695,0.854,0.8845,0.03636386391122796,1.0914811104876858,1.1315167333190548,0.7547647714780384,1.130677392617261,1.131726828978217,1.1324962347334666,0.13292913632606393,1.6595854759216309,-0.02266777694521852,0.13292913632606393,19.713092029094696,0.04386873397820728,0.8637134432792664,16.50646344499546,0.0,1185
nn_mlp_deep,nn,1,1,1.1,True,1.144910938095064,0.0,-0.042891164499129664,0.8845,1.144910938095064,0.8845,0.8695,0.8985,0.03855892727228367,1.09412147335758,1.137042832513702,0.7133638890779271,1.1336062069184045,1.1382498995593529,1.1390377910609255,0.13453334231874836,2.0050277709960938,-0.021258637086669013,0.13453334231874836,21.410009741783142,0.047763735420314334,0.8712345361709595,16.777619293992757,0.0,6465
nn_policy_net,nn,1,1,1.1,True,1.1337169255623722,0.0,-0.04362426797222929,0.895,1.1337169255623722,0.895,0.8795,0.9082625,0.037145381472599284,1.0903413841507676,1.1274326368810998,0.703724614076715,1.1267604222490477,1.1277288041151763,1.1293864750547122,0.1389773630384189,2.096977710723877,-0.02881454976636972,0.1389773630384189,23.76326596736908,0.04889040691498634,0.8709855079650879,16.539882106008008,0.0,33537
nn_ste_goalreach,nn,1,1,1.1,True,1.1337169255623722,0.0,-0.04362426797222929,0.895,1.1337169255623722,0.895,0.8795,0.9082625,0.037145381472599284,1.0903413841507676,1.1274326368810998,0.703724614076715,1.1267604222490477,1.1277288041151763,1.1293864750547122,0.1389773630384189,2.096977710723877,-0.02881454976636972,0.1389773630384189,23.76326596736908,0.04889040691498634,0.87890625,16.583679399001994,0.0,33537
nn_digital_hedge,nn,1,1,1.1,True,1.159624211534339,0.0,-0.010602691766805616,0.051,1.159624211534339,0.051,0.0412375,0.06026249999999999,0.061059523056953155,1.0401195248280402,1.0361069757559385,0.9965933779662388,1.0193529015445177,1.0566700293761377,1.100517633788489,0.06961936222676614,0.10793506354093552,0.06961936222676614,0.06961936222676614,0.1784704104065895,0.012056326050577427,0.0751953125,11.102546808993793,0.0,33537
nn_policy_long_only,nn,1,1,1.1,True,1.6075712414881096,0.0,-0.24527071537179257,0.535,1.6075712414881096,0.535,0.5142125,0.5562625,0.06674459516022616,1.140062540373526,1.1167960574845313,0.8201669707536409,0.9893330139593395,1.2726001207299813,1.539834144872503,0.9999985092907996,0.9999985694885254,0.9999985092907996,0.9999985092907996,2.384185791015625e-06,0.16508818801371478,0.5643288493156433,12.87420607599779,0.0,33537
nn_ste_long_only,nn,1,1,1.1,True,1.6075712414881096,0.0,-0.24527071537179257,0.535,1.6075712414881096,0.535,0.5142125,0.5562625,0.06674459516022616,1.140062540373526,1.1167960574845313,0.8201669707536409,0.9893330139593395,1.2726001207299813,1.539834144872503,0.9999985092907996,0.9999985694885254,0.9999985092907996,0.9999985092907996,2.384185791015625e-06,0.16508818801371478,0.5673828125,12.26873604398861,0.0,33537
nn_digital_hedge_long_only,nn,1,1,1.1,True,1.2082195046376192,0.0,-0.035921756256234616,0.1635,1.2082195046376192,0.1635,0.147975,0.1807625,0.055182267763973995,1.0506490776188988,1.0450931685935163,0.9748915811346223,1.0147761130494093,1.080427001111426,1.1576937818402966,0.17357419892330075,0.272207111120224,0.17357419892330075,0.17357419892330075,0.4025923013687134,0.02980953731619677,0.1708984375,6.09189684400917,0.0,33537
