method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
nn_historical_replay,nn,5,1,1.1,True,1.2787134770794804,0.0,-0.7232466151723207,0.3345,1.2787134770794804,0.3345,0.314,0.354525,0.2689874001002471,0.9055878728820124,0.9405538003001461,0.3080060646045358,0.5876241482581396,1.1512674995144354,1.510152337709378,6.483034994827574,8.000000000000002,-3.5156844955178634,2.2944360994884945,614.8001874317999,0.6055825414862297,1.0,7.156771977999597,0.0,34437
nn_historical_replay_long_only,nn,5,1,1.1,True,1.6697056855395533,0.0,-0.35119425249939096,0.6815,1.6697056855395533,0.6815,0.6607375,0.7015,0.0445672650002674,1.2509004540544024,1.216813107382388,0.8435396509846121,1.0590223546862267,1.4182211976943937,1.761002108946755,1.0000179139239278,1.000018298625946,1.0000179139239278,0.99995790625093,2.0563602447509766e-05,0.2246025712229875,0.0,7.178007413996966,0.0,34437
deep_bsde,nn,5,1,1.1,True,1.4631526662327599,0.0,-0.5644164646135901,0.7505,1.4631526662327599,0.7505,0.733,0.7682625,0.15756420297446327,1.3023533935626679,1.3473849633153758,0.23195209168641703,1.1120206956114087,1.565249784925559,2.2831520995399437,5.298044848145537,8.000000000000002,0.700614159083485,2.1569847826652397,444.1068947648853,0.539404723600173,0.8475067019462585,35.77817780399346,0.0,52680
pinn,nn,5,1,1.1,True,1.4153220387563963,0.0,-0.6461256780034876,0.8685,1.4153220387563963,0.8685,0.8535,0.8812625,0.03621493677098344,1.3417086006188002,1.3401455680001852,0.8027714171478828,1.2111278170568776,1.4812286957263692,1.7999508995859614,4.311875447408477,6.261489808559418,1.6861692099428889,2.1099444578594415,178.497451985508,0.5285025743135988,0.857836902141571,43.64118649500597,0.0,8902
actor_critic,nn,5,1,1.1,True,1.3917186385583753,0.0,-0.6390147126474115,0.8615,1.3917186385583753,0.8615,0.8457375,0.8742625,0.034636104389751336,1.3343822421778095,1.3305508118423657,0.8176767879290123,1.2039185445871619,1.4677220127648611,1.795030707948035,4.344164698100209,5.708880126476288,1.6556133261367456,2.1910090168228415,163.7575377008369,0.5151799486920383,0.8563175797462463,19.90190796900424,0.0,9094
lstm,nn,5,1,1.1,True,1.5369432879797202,0.0,-0.7066020598234353,0.854,1.5369432879797202,0.854,0.8385,0.8685,0.03862273619818023,1.422069148307161,1.4016371892928152,0.7883797934336445,1.212633049846836,1.626691322517904,2.0781686749256245,3.938396974345345,5.3434486389160165,2.025890700734077,2.1345347754189827,130.73620875428938,0.5487380579414838,0.8039605021476746,20.997907055003452,0.0,4773
transformer,nn,5,1,1.1,True,2.9533014795110586,0.0,-0.46149082822237586,0.578,2.9533014795110586,0.578,0.558,0.5992625,0.16827839954332519,1.368355248519437,1.2736313382509277,0.37471724223305314,0.7864187151776411,1.7909160399343715,2.693354793328301,7.9902283599720665,7.99834132194519,-2.0097716400279335,2.9902283599720665,99.17458035403368,0.53190408431333,0.5632847547531128,21.672728172008647,0.0,17349
es_grpo,nn,5,1,1.1,True,1.2030440700596263,0.0,-0.6672327192408827,0.7885,1.2030440700596263,0.7885,0.7705,0.806,0.03225668489604636,1.3622167961536598,1.3308939187709883,0.8695040638040159,1.136687204545582,1.530463371960094,1.9478593371917707,3.3993178281024914,4.68454521894455,2.6006821718975086,1.3462089451538373,26.327661058516625,0.3702713516928032,0.7861328125,4.904217264003819,0.0,4677
es_grpo_long_only,nn,5,1,1.1,True,1.3534348279414827,0.0,-0.37622349206018324,0.6985,1.3534348279414827,0.6985,0.6795,0.7177625,0.03313711496697999,1.2308426378013513,1.2104249568625616,0.9021249269768165,1.0716725724840277,1.363506045277708,1.6279466571804955,1.1961059991993122,1.422581046819687,1.1961059991993122,0.8317437218789437,3.398785501718521,0.20035540219522116,0.6845703125,7.539293313995586,0.0,4677
fd_nd,fd,5,2,1.1,True,1.233774369753974,0.0,-0.2751436415873785,0.913,1.233774369753974,0.913,0.9005,0.9242625,0.037158511368109444,1.0948775276008917,1.1329052073570614,0.7114155189957077,1.1193581889665976,1.1448408421909877,1.1613365751643348,0.7947051770686457,8.0,0.3174575959962825,0.2901965253946802,190.05388147764515,0.1275859574205684,,0.0,2.136917886993615,0
fd_merton_multi,fd,5,2,1.1,True,1.8068907617430092,0.0,-0.04833193690866333,1.0,1.8068907617430092,,,,,,,,,,,0.9999999999999999,0.9999999999999999,0.4209917790857099,0.4531353505400263,0.0,0.05795862623046553,,0.0,0.0001149440067820251,0
nn_mlp_small,nn,5,2,1.1,True,2.5451108297736913,0.0,-0.4769013992482116,0.5515,2.5451108297736913,0.5515,0.5307375,0.5735,0.13831141301733516,1.3199287618561257,1.1809350404052745,0.5143814226145872,0.8500242061709874,1.623682790588514,2.5884303757513374,7.992723081835467,7.995004892349243,-2.0072769181645334,2.9927230818354666,13.983027112062521,0.5095503714992322,0.5457993745803833,11.790743871999439,0.0,1317
nn_mlp_deep,nn,5,2,1.1,True,1.3101112144492097,0.0,-0.24609367776370905,0.8175,1.3101112144492097,0.8175,0.801,0.8335,0.0776344314871547,1.2479811143298516,1.2956107997266182,0.46734637382537136,1.198548524426395,1.4047074582308372,1.6818320526941297,6.057793203396583,7.11603456735611,-0.05779320339658367,3.103001876305261,218.39232556952368,0.269535775873164,0.8137946724891663,16.456039210999734,0.0,6597
