method,family,n_assets,seed,goal_mult,hist_goal_hit,hist_terminal_wealth,hist_shortfall,hist_max_drawdown,goal_probability,terminal_wealth,mc_goal_prob,mc_goal_prob_ci_lo,mc_goal_prob_ci_hi,mc_shortfall_mean,mc_mean_wealth,mc_median_wealth,mc_wealth_p05,mc_wealth_p25,mc_wealth_p75,mc_wealth_p95,mean_gross_leverage,max_gross_leverage,mean_net_exposure,max_single_name_weight,turnover,wealth_vol,test_u,train_time_sec,solve_time_sec,nn_param_count
fd_nd,fd,10,1,1.1,True,1.245979725917183,0.0,-0.10925245903191527,0.901,1.245979725917183,0.901,0.8877375,0.9142625,0.036415492499264145,1.0982776152883362,1.1347022005965477,0.7363681038624256,1.1181881350946896,1.1505178363023327,1.1694555462465754,1.5335550516692065,8.000000000000002,-0.06958202033653896,0.2624117243583805,303.4250407392731,0.09473374987745757,,0.0,2.283113134006271,0
fd_merton_multi,fd,10,1,1.1,True,1.5418531631187347,0.0,-0.02188869481519473,1.0,1.5418531631187347,,,,,,,,,,,1.0,1.0,0.02774055765295558,0.22187787289251332,0.0,0.031915269350295,,0.0,0.00012062401219736785,0
nn_mlp_small,nn,10,1,1.1,True,1.9957983560361667,0.0,-0.23323711763690258,0.8535,1.9957983560361667,0.8535,0.8382375,0.869,0.042156786187158055,1.2983923541828295,1.3373299343170881,0.731735223241858,1.2138689401379192,1.4416018778207476,1.6367320024789134,8.0,8.000000000000002,-2.0,2.516562842993972,58.90992811978485,0.2290955728476382,0.8467300534248352,17.080304948001867,0.0,1482
nn_mlp_deep,nn,10,1,1.1,True,1.486024483613028,0.0,-0.21647888458131637,0.886,1.486024483613028,0.886,0.8725,0.8992625,0.049727280986628174,1.246001997107943,1.2902193918064264,0.585164949760746,1.2288363946737708,1.3490981475141708,1.5025618381091672,8.0,8.000000000000002,-2.0,2.864077491266955,82.5294013132715,0.20677330426741503,0.8835253715515137,17.102105212994502,0.0,6762
nn_policy_net,nn,10,1,1.1,True,2.3002256821648692,0.0,-0.21216958828135835,0.875,2.3002256821648692,0.875,0.86,0.888,0.047397671016819104,1.255182856972373,1.2871902978625713,0.6367039354283948,1.2020643509383218,1.3853974814259629,1.5761084491069448,8.0,8.000000000000002,-2.0,2.4464756230114406,36.27692236575985,0.16705428876718456,0.8671326637268066,16.98073980199115,0.0,34698
nn_ste_goalreach,nn,10,1,1.1,True,2.3002256821648692,0.0,-0.21216958828135835,0.875,2.3002256821648692,0.875,0.86,0.888,0.047397671016819104,1.255182856972373,1.2871902978625713,0.6367039354283948,1.2020643509383218,1.3853974814259629,1.5761084491069448,8.0,8.000000000000002,-2.0,2.4464756230114406,36.27692236575985,0.16705428876718456,0.8671875,16.847255254004267,0.0,34698
nn_digital_hedge,nn,10,1,1.1,True,1.2154519401113664,0.0,-0.108365372672659,0.5605,1.2154519401113664,0.5605,0.54,0.5792625,0.026036380695496582,1.116009446218885,1.106168032743764,0.9931660210787308,1.0522093541457607,1.160826010100806,1.2885237572642385,1.6838041055725137,3.531916804611683,0.04670978325108687,0.3735987797008818,21.39616857841611,0.07470034923438308,0.53515625,14.275226551995729,0.0,33537
nn_policy_long_only,nn,10,1,1.1,True,1.8480094786231471,0.0,-0.33557710380616934,0.6925,1.8480094786231471,0.6925,0.674,0.711025,0.04420573083257067,1.2691079463611814,1.2286898696497786,0.8485639009063932,1.0563247382749597,1.4427153987096943,1.8161133785970849,1.0000883324229302,1.000088483095169,1.0000883324229302,0.9999731684205544,1.5467405319213867e-05,0.23920274458416596,0.6614025831222534,16.10997046700504,0.0,34698
nn_ste_long_only,nn,10,1,1.1,True,1.848006115182224,0.0,-0.33557992253716384,0.6925,1.848006115182224,0.6925,0.674,0.711025,0.04420597540014777,1.2691087043710372,1.2286905763382618,0.8485637517171544,1.0563238797115977,1.4427171760646647,1.8161154193902191,1.0001022580844252,1.0001024305820465,1.0001022580844252,0.9999724245190027,1.7642974853515625e-05,0.23920376155135212,0.6865234375,10.455134992997046,0.0,34698
nn_digital_hedge_long_only,nn,10,1,1.1,True,1.1204783852964433,0.0,-0.24320570632279903,0.5585,1.1204783852964433,0.5585,0.5377125,0.5792625,0.03287273492840933,1.1348429756320462,1.123332504854051,0.957308686883429,1.043390840846477,1.2004668050923453,1.3856598658097903,0.6266323657456174,1.0000001266598701,0.6266323657456174,0.26114135672203936,7.871582377701998,0.10018810373323173,0.5693359375,7.718630471994402,0.0,33537
